event,timestamp,station,value_mm,review_level,review_score,reasons,network_median_mm,modified_z,iqr_soft_upper_mm,iqr_strong_upper_mm,temporal_median_mm,neighbor_median_mm,neighbor_count,neighbor_ratio,spatial_match_available,systematic_sensor_candidate
MDHab,2026-08-08 16:00,Tandang Sora,17.500,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,2.500,10.117,8.250,12.000,7.500,4.500,5,3.600,True,True
MDHab,2026-08-08 17:00,Holy Spirit,15.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.500,10.792,9.250,10.900,15.750,6.500,5,2.286,True,True
MDHab,2026-08-08 17:00,Kaligayahan,11.000,review,3,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5,7.500,4.721,9.250,10.900,5.250,7.500,3,1.438,True,False
MDHab,2026-08-08 17:00,Maligaya High School,10.000,review,2,above_1.5_iqr;modified_z_above_3,7.500,3.373,9.250,10.900,5.250,7.500,3,1.312,True,False
MDHab,2026-08-08 17:00,Nagkaisang Nayon,17.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.500,12.816,9.250,10.900,19.250,7.500,3,2.188,True,True
MDHab,2026-08-08 17:00,Phil-Am,18.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.500,14.165,9.250,10.900,11.750,8.000,5,2.176,True,True
MDHab,2026-08-08 17:00,South Triangle,22.500,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,7.500,20.235,9.250,10.900,10.250,7.500,5,2.875,True,True
MDHab,2026-08-08 18:00,Brgy Fairview (REC),12.000,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,4.000,3.597,9.550,13.600,10.250,,0,,False,False
MDHab,2026-08-08 18:00,Holy Spirit,17.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,4.000,5.846,9.550,13.600,23.500,5.000,5,3.182,True,True
MDHab,2026-08-08 18:00,Jose Maria Panganiban Senior High School,10.000,review,2,above_1.5_iqr;sensor_has_systematic_review_flag,4.000,2.698,9.550,13.600,9.500,8.430,4,1.176,True,True
MDHab,2026-08-08 18:00,Nagkaisang Nayon,20.500,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,4.000,7.419,9.550,13.600,22.250,7.860,3,2.512,True,True
MDHab,2026-08-08 18:00,North Fairview Elementary School,11.500,review,2,above_1.5_iqr;modified_z_above_3,4.000,3.373,9.550,13.600,10.250,6.400,4,1.739,True,False
MDHab,2026-08-08 18:00,Phil-Am,12.500,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,4.000,3.822,9.550,13.600,26.000,5.000,5,2.364,True,True
MDHab,2026-08-08 18:00,QCU,12.500,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,4.000,3.822,9.550,13.600,11.250,5.000,5,2.364,True,False
MDHab,2026-08-08 19:00,Nagkaisang Nayon,45.000,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,12.000,3.710,34.750,52.000,18.750,19.000,3,2.333,True,True
MDHab,2026-08-08 19:00,South Triangle,27.000,review,3,nearest_neighbor_disagreement;sensor_has_systematic_review_flag,12.000,1.686,34.750,52.000,19.500,9.000,5,2.895,True,True
MDHab,2026-08-08 19:00,Tandang Sora,35.500,review,2,above_1.5_iqr;sensor_has_systematic_review_flag,12.000,2.642,34.750,52.000,13.250,17.500,5,2.000,True,True
MDHab,2026-08-08 20:00,Holy Spirit,59.500,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,16.000,8.383,28.250,37.700,13.750,17.950,5,3.252,True,True
MDHab,2026-08-08 20:00,Old Balara Elementary School,28.500,review,2,above_1.5_iqr;temporally_isolated,16.000,2.409,28.250,37.700,5.250,24.000,5,1.184,True,False
MDHab,2026-08-08 20:00,Phil-Am,51.000,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,16.000,6.745,28.250,37.700,14.250,20.000,5,2.512,True,True
MDHab,2026-08-08 20:00,South Triangle,44.000,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,16.000,5.396,28.250,37.700,13.000,15.500,5,2.781,True,True
MDHab,2026-08-08 20:00,Tandang Sora,45.500,severe_review,5,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;sensor_has_systematic_review_flag,16.000,5.685,28.250,37.700,13.250,17.950,5,2.493,True,True
MDHab,2026-08-08 21:00,Phil-Am,16.000,severe_review,5,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,6.230,5.632,12.250,17.500,20.000,6.000,5,2.538,True,True
MDHab,2026-08-08 21:00,South Triangle,16.500,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,6.230,5.921,12.250,17.500,17.000,7.500,5,2.125,True,True
MDHab,2026-08-08 21:00,Tandang Sora,26.500,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,6.230,11.686,12.250,17.500,17.750,4.500,5,5.400,True,True
MDHab,2026-08-08 22:00,Nagkaisang Nayon,7.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,3.000,15.176,3.750,4.500,5.250,3.000,3,2.286,True,True
MDHab,2026-08-09 02:00,Holy Spirit,8.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,3.000,7.420,4.550,5.600,3.000,2.800,5,2.727,True,True
MDHab,2026-08-09 02:00,Nagkaisang Nayon,10.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,3.000,9.443,4.550,5.600,1.500,3.500,3,2.625,True,True
MDHab,2026-08-09 04:00,Holy Spirit,23.000,review,2,temporally_isolated;sensor_has_systematic_review_flag,16.500,0.877,36.875,52.250,6.500,11.250,5,2.000,True,True
MDHab,2026-08-09 04:00,Nagkaisang Nayon,22.000,review,2,temporally_isolated;sensor_has_systematic_review_flag,16.500,0.742,36.875,52.250,1.250,9.910,3,2.161,True,True
MDHab,2026-08-09 04:00,Phil-Am,36.000,review,2,temporally_isolated;sensor_has_systematic_review_flag,16.500,2.631,36.875,52.250,4.000,14.500,5,2.433,True,True
MDHab,2026-08-09 04:00,South Triangle,48.500,severe_review,4,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;sensor_has_systematic_review_flag,16.500,4.317,36.875,52.250,4.000,21.000,5,2.279,True,True
MDHab,2026-08-09 05:00,Bagong Silangan Evacuation Center,36.500,review,2,above_1.5_iqr;temporally_isolated,13.500,2.821,34.000,49.000,2.250,,0,,False,False
MDHab,2026-08-09 05:00,Holy Spirit,60.000,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,13.500,5.703,34.000,49.000,2.500,19.000,5,3.103,True,True
MDHab,2026-08-09 05:00,Phil-Am,23.500,review,2,temporally_isolated;sensor_has_systematic_review_flag,13.500,1.226,34.000,49.000,1.750,14.500,5,1.600,True,True
MDHab,2026-08-09 05:00,South Triangle,27.500,review,2,temporally_isolated;sensor_has_systematic_review_flag,13.500,1.717,34.000,49.000,1.500,15.000,5,1.806,True,True
MDHab,2026-08-09 05:00,Tandang Sora,45.000,severe_review,6,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,13.500,3.863,34.000,49.000,2.500,16.480,5,2.680,True,True
MDHab,2026-08-09 06:00,Tandang Sora,23.500,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,0.600,38.615,1.750,2.500,2.500,1.240,5,13.793,True,True
MDHab,2026-08-09 09:00,Brgy Fairview (REC),14.000,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,5.400,3.625,11.500,16.000,5.000,,0,,False,False
MDHab,2026-08-09 09:00,Jose Maria Panganiban Senior High School,16.000,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,5.400,4.469,11.500,16.000,3.500,7.975,4,1.947,True,True
MDHab,2026-08-09 09:00,Lupang Pangako Elementary School,22.210,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated,5.400,7.086,11.500,16.000,6.900,12.400,3,1.760,True,False
MDHab,2026-08-09 09:00,Nagkaisang Nayon,31.000,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,5.400,10.792,11.500,16.000,5.500,9.500,3,3.150,True,True
MDHab,2026-08-09 09:00,North Fairview Elementary School,14.500,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,5.400,3.836,11.500,16.000,4.250,7.900,4,1.786,True,False
MDHab,2026-08-09 09:00,Payatas ES,16.500,review,3,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5,5.400,4.679,11.500,16.000,6.000,12.400,3,1.318,True,False
MDHab,2026-08-09 09:00,QCU,11.000,review,2,nearest_neighbor_disagreement,5.400,2.361,11.500,16.000,4.500,1.000,5,7.667,True,False
MDHab,2026-08-09 10:00,Holy Spirit,101.000,severe_review,8,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;extreme_at_least_75_mm;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,17.000,6.295,56.650,83.800,7.000,22.430,5,4.427,True,True
MDHab,2026-08-09 10:00,Nagkaisang Nayon,26.500,review,2,temporally_isolated;sensor_has_systematic_review_flag,17.000,0.712,59.150,87.800,5.500,14.500,3,1.800,True,True
MDHab,2026-08-09 10:00,Phil-Am,71.000,severe_review,4,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;sensor_has_systematic_review_flag,17.000,4.047,56.650,83.800,3.000,34.500,5,2.043,True,True
MDHab,2026-08-09 10:00,South Triangle,49.500,severe_review,4,temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,17.000,2.436,56.650,83.800,10.250,13.500,5,3.571,True,True
MDHab,2026-08-09 10:00,Tandang Sora,45.500,review,2,temporally_isolated;sensor_has_systematic_review_flag,17.000,2.136,56.650,83.800,4.750,27.810,5,1.625,True,True
MDHab,2026-08-09 10:00,Ugong Norte,22.430,review,3,temporally_isolated;nearest_neighbor_disagreement,17.000,0.407,59.150,87.800,6.705,7.000,5,3.057,True,False
MDHab,2026-08-09 11:00,Holy Spirit,21.000,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,6.500,7.523,11.100,14.760,2.000,7.440,5,2.708,True,True
MDHab,2026-08-09 11:00,Phil-Am,19.000,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,6.500,6.486,11.100,14.760,1.000,6.000,5,3.000,True,True
MDHab,2026-08-09 11:00,South Triangle,17.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,6.500,5.448,11.100,14.760,5.000,6.000,5,2.692,True,True
MDHab,2026-08-09 11:00,Tandang Sora,45.500,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,6.500,20.235,11.100,14.760,4.750,5.500,5,7.667,True,True
MDHab,2026-08-09 17:00,Holy Spirit,15.500,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,2.200,7.476,8.000,12.200,8.750,2.800,5,4.848,True,True
MDHab,2026-08-09 18:00,Holy Spirit,39.500,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,9.500,5.781,26.000,37.400,8.750,12.810,5,3.005,True,True
MDHab,2026-08-09 18:00,Nagkaisang Nayon,35.000,severe_review,6,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,9.500,4.914,26.000,37.400,4.750,12.500,3,2.731,True,True
MDHab,2026-08-09 18:00,Phil-Am,25.000,review,2,temporally_isolated;sensor_has_systematic_review_flag,9.500,2.987,26.000,37.400,4.250,14.000,5,1.759,True,True
MDHab,2026-08-09 18:00,South Triangle,22.500,severe_review,4,temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,9.500,2.505,26.000,37.400,6.250,7.000,5,3.067,True,True
MDHab,2026-08-09 19:00,Holy Spirit,12.000,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,5.000,4.721,9.000,12.000,10.250,4.000,5,2.778,True,True
MDHab,2026-08-09 19:00,Lupang Pangako Elementary School,10.600,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,5.000,3.777,9.000,12.000,1.400,5.670,3,1.799,True,False
MDHab,2026-08-09 19:00,Nagkaisang Nayon,12.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,5.000,5.059,9.000,12.000,6.250,5.670,3,2.107,True,True
MDHab,2026-08-09 19:00,Payatas ES,9.500,review,2,above_1.5_iqr;modified_z_above_3,5.000,3.035,9.000,12.000,1.500,5.670,3,1.621,True,False
MDHab,2026-08-09 19:00,Tandang Sora,32.500,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,5.000,18.549,9.000,12.000,13.500,5.670,5,5.348,True,True
MDHab,2026-08-09 20:00,Tandang Sora,29.500,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,2.000,37.097,4.000,5.500,13.500,2.000,5,12.000,True,True
MDHab,2026-08-09 21:00,Tandang Sora,9.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,1.200,18.661,2.250,3.000,14.750,1.500,5,5.000,True,True
